Ticker,Company Name,CIK,Sector,Industry,Market Cap
TJX,TJX COMPANIES INC /DE/,0000109198,Consumer Cyclical,Apparel Retail,115559448576
PBR,PETROBRAS - PETROLEO BRASILEIRO SA,0001119639,Energy,Oil & Gas Integrated,108052660224
RIO,RIO TINTO PLC,0000863064,Basic Materials,Other Industrial Metals & Mining,103801995264
MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,0000067088,Financial Services,Banks - Diversified,120174206976
VRTX,VERTEX PHARMACEUTICALS INC / MA,0000875320,Healthcare,Biotechnology,110687559680
ETN,Eaton Corp plc,0001551182,Industrials,Specialty Industrial Machinery,114485297152
SBUX,STARBUCKS CORP,0000829224,Consumer Cyclical,Restaurants,105126625280
DE,DEERE & CO,0000315189,Industrials,Farm & Heavy Construction Machinery,101954166784
PGR,PROGRESSIVE CORP/OH/,0000080661,Financial Services,Insurance - Property & Casualty,112341630976
TD,TORONTO DOMINION BANK,0000947263,Financial Services,Banks - Diversified,106753245184
C,CITIGROUP INC,0000831001,Financial Services,Banks - Diversified,105517187072
REGN,"REGENERON PHARMACEUTICALS, INC.",0000872589,Healthcare,Biotechnology,108841648128
LMT,LOCKHEED MARTIN CORP,0000936468,Industrials,Aerospace & Defense,104602427392
BP,BP PLC,0000313807,Energy,Oil & Gas Integrated,99218169856
ADP,AUTOMATIC DATA PROCESSING INC,0000008670,Industrials,Staffing & Employment Services,103276969984
MDLZ,"Mondelez International, Inc.",0001103982,Consumer Defensive,Confectioners,98710446080
CB,Chubb Ltd,0000896159,Financial Services,Insurance - Property & Casualty,102939033600
BMY,BRISTOL MYERS SQUIBB CO,0000014272,Healthcare,Drug Manufacturers - General,102990135296
CI,Cigna Group,0001739940,Healthcare,Healthcare Plans,98117541888
MMC,"MARSH & MCLENNAN COMPANIES, INC.",0000062709,Financial Services,Insurance Brokers,101256552448
ADI,ANALOG DEVICES INC,0000006281,Technology,Semiconductors,93183098880
CVS,CVS HEALTH Corp,0000064803,Healthcare,Healthcare Plans,94962638848
ABNB,"Airbnb, Inc.",0001559720,Consumer Cyclical,Travel Services,97861246976
CSLLY,CSL LTD,0001274152,Healthcare,Biotechnology,89290080256
BSX,BOSTON SCIENTIFIC CORP,0000885725,Healthcare,Medical Devices,98178334720
MU,MICRON TECHNOLOGY INC,0000723125,Technology,Semiconductors,99153199104
TOELY,Tokyo Electron LTD,0001443276,Technology,Semiconductor Equipment & Materials,111670484992
GILD,"GILEAD SCIENCES, INC.",0000882095,Healthcare,Drug Manufacturers - General,90723196928
AMT,AMERICAN TOWER CORP /MA/,0001053507,Real Estate,REIT - Specialty,90818265088
ZTS,Zoetis Inc.,0001555280,Healthcare,Drug Manufacturers - Specialty & Generic,91468095488
CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI,0000948401,Consumer Cyclical,Luxury Goods,92666265600
UBS,UBS Group AG,0001610520,Financial Services,Banks - Diversified,91548491776
MELI,MERCADOLIBRE INC,0001099590,Consumer Cyclical,Internet Retail,80313810944
SNPS,SYNOPSYS INC,0000883241,Technology,Software - Infrastructure,86905847808
KKR,KKR & Co. Inc.,0001404912,Financial Services,Asset Management,85216124928
FI,FISERV INC,0000798354,Technology,Information Technology Services,87568580608
ANET,"Arista Networks, Inc.",0001596532,Technology,Computer Hardware,85242003456
INFY,Infosys Ltd,0001067491,Technology,Information Technology Services,82842083328
GSK,GSK plc,0001131399,Healthcare,Drug Manufacturers - General,86061973504
KLAC,KLA CORP,0000319201,Technology,Semiconductor Equipment & Materials,91313373184
CDNS,CADENCE DESIGN SYSTEMS INC,0000813672,Technology,Software - Application,82024259584
IBN,ICICI BANK LTD,0001103838,Financial Services,Banks - Regional,88876916736
DEO,DIAGEO PLC,0000835403,Consumer Defensive,Beverages - Wineries & Distilleries,85362450432
CNI,CANADIAN NATIONAL RAILWAY CO,0000016868,Industrials,Railroads,83471933440
HCA,"HCA Healthcare, Inc.",0000860730,Healthcare,Medical Care Facilities,82510471168
EQIX,EQUINIX INC,0001101239,Real Estate,REIT - Specialty,84203585536
ABBNY,ABB LTD,0001091587,Industrials,Electrical Equipment & Parts,84279967744
SHW,SHERWIN WILLIAMS CO,0000089800,Basic Materials,Specialty Chemicals,83820765184
CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,0000016875,Industrials,Railroads,79727591424
ATLKY,ATLAS COPCO AB,0000748954,Industrials,Specialty Industrial Machinery,84793368576
SHECY,"Shin-Etsu Chemical Co., Ltd.",0001442651,Basic Materials,Chemicals,83654418432
RELX,RELX PLC,0000929869,Industrials,Specialty Business Services,82893078528
WDAY,"Workday, Inc.",0001327811,Technology,Software - Application,77767786496
ICE,"Intercontinental Exchange, Inc.",0001571949,Financial Services,Financial Data & Stock Exchanges,79685246976
CRWD,"CrowdStrike Holdings, Inc.",0001535527,Technology,Software - Infrastructure,77140574208
EQNR,EQUINOR ASA,0001140625,Energy,Oil & Gas Integrated,73155026944
WM,WASTE MANAGEMENT INC,0000823768,Industrials,Waste Management,83219144704
ITW,ILLINOIS TOOL WORKS INC,0000049826,Industrials,Specialty Industrial Machinery,78313988096
MBGYY,DAIMLER AG,0001067318,Consumer Cyclical,Auto Manufacturers,84773920768
CME,CME GROUP INC.,0001156375,Financial Services,Financial Data & Stock Exchanges,79383855104
GD,GENERAL DYNAMICS CORP,0000040533,Industrials,Aerospace & Defense,75066408960
SNOW,Snowflake Inc.,0001640147,Technology,Software - Application,75988639744
MAR,MARRIOTT INTERNATIONAL INC /MD/,0001048286,Consumer Cyclical,Lodging,72074526720
CSX,CSX CORP,0000277948,Industrials,Railroads,73888587776
MCO,MOODYS CORP /DE/,0001059556,Financial Services,Financial Data & Stock Exchanges,69167284224
ENB,ENBRIDGE INC,0000895728,Energy,Oil & Gas Midstream,73180938240
STLA,Stellantis N.V.,0001605484,Consumer Cyclical,Auto Manufacturers,79341256704
SO,SOUTHERN CO,0000092122,Utilities,Utilities - Regulated Electric,72792858624
CMG,CHIPOTLE MEXICAN GRILL INC,0001058090,Consumer Cyclical,Restaurants,73051176960
DUK,Duke Energy CORP,0001326160,Utilities,Utilities - Regulated Electric,69974220800
TRI,THOMSON REUTERS CORP /CAN/,0001075124,Industrials,Specialty Business Services,71331913728
BTI,British American Tobacco p.l.c.,0001303523,Consumer Defensive,Tobacco,66432860160
MO,"ALTRIA GROUP, INC.",0000764180,Consumer Defensive,Tobacco,71957987328
BDX,BECTON DICKINSON & CO,0000010795,Healthcare,Medical Instruments & Supplies,69241143296
RACE,Ferrari N.V.,0001648416,Consumer Cyclical,Auto Manufacturers,77340729344
CL,COLGATE PALMOLIVE CO,0000021665,Consumer Defensive,Household & Personal Products,71326031872
TGT,TARGET CORP,0000027419,Consumer Defensive,Discount Stores,69909479424
NOC,NORTHROP GRUMMAN CORP /DE/,0001133421,Industrials,Aerospace & Defense,69137334272
SLB,SCHLUMBERGER LIMITED/NV,0000087347,Energy,Oil & Gas Equipment & Services,69090369536
NTES,"NetEase, Inc.",0001110646,Communication Services,Electronic Gaming & Multimedia,72790573056
SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",0001022837,Financial Services,Banks - Diversified,73072189440
ITUB,Itau Unibanco Holding S.A.,0001132597,Financial Services,Banks - Regional,68485787648
BMO,BANK OF MONTREAL /CAN/,0000927971,Financial Services,Banks - Diversified,64887623680
CNQ,CANADIAN NATURAL RESOURCES LTD,0001017413,Energy,Oil & Gas E&P,72219713536
PH,PARKER HANNIFIN CORP,0000076334,Industrials,Specialty Industrial Machinery,68141301760
EOG,EOG RESOURCES INC,0000821189,Energy,Oil & Gas E&P,66120224768
MCK,MCKESSON CORP,0000927653,Healthcare,Medical Distribution,68819025920
BN,BROOKFIELD Corp /ON/,0001001085,Financial Services,Asset Management,64187244544
PSX,Phillips 66,0001534701,Energy,Oil & Gas Refining & Marketing,60581806080
TDG,TransDigm Group INC,0001260221,Industrials,Aerospace & Defense,65170583552
USB,US BANCORP \DE\,0000036104,Financial Services,Banks - Regional,64249491456
SCCO,SOUTHERN COPPER CORP/,0001001838,Basic Materials,Copper,61118214144
APH,AMPHENOL CORP /DE/,0000820313,Technology,Electronic Components,65060270080
CTAS,CINTAS CORP,0000723254,Industrials,Specialty Business Services,63817097216
MPC,Marathon Petroleum Corp,0001510295,Energy,Oil & Gas Refining & Marketing,61588480000
MRVL,"Marvell Technology, Inc.",0001835632,Technology,Semiconductors,58535378944
SAN,"Banco Santander, S.A.",0000891478,Financial Services,Banks - Diversified,65977724928
GLNCY,Glencore plc/ADR,0001524684,Basic Materials,Other Industrial Metals & Mining,56960602112
TT,Trane Technologies plc,0001466258,Industrials,Building Products & Equipment,64402157568
APO,"Apollo Global Management, Inc.",0001858681,Financial Services,Asset Management,63555391488
AON,Aon plc,0000315293,Financial Services,Insurance Brokers,62737522688
PYPL,"PayPal Holdings, Inc.",0001633917,Financial Services,Credit Services,64674152448
FDX,FEDEX CORP,0001048911,Industrials,Integrated Freight & Logistics,60983885824
ORLY,O REILLY AUTOMOTIVE INC,0000898173,Consumer Cyclical,Specialty Retail,64352727040
LULU,lululemon athletica inc.,0001397187,Consumer Cyclical,Apparel Retail,58562715648
DELL,Dell Technologies Inc.,0001571996,Technology,Computer Hardware,65950498816
PNC,"PNC FINANCIAL SERVICES GROUP, INC.",0000713676,Financial Services,Banks - Regional,58024275968
EMR,EMERSON ELECTRIC CO,0000032604,Industrials,Specialty Industrial Machinery,60205723648
NXPI,NXP Semiconductors N.V.,0001413447,Technology,Semiconductors,62695251968
MNST,Monster Beverage Corp,0000865752,Consumer Defensive,Beverages - Non-Alcoholic,58270633984
ROP,ROPER TECHNOLOGIES INC,0000882835,Technology,Software - Application,58185183232
ECL,ECOLAB INC.,0000031462,Basic Materials,Specialty Chemicals,64253272064
NSC,NORFOLK SOUTHERN CORP,0000702165,Industrials,Railroads,57209135104
BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0000842180,Financial Services,Banks - Diversified,58795696128
VALE,Vale S.A.,0000917851,Basic Materials,Other Industrial Metals & Mining,57387126784
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,0001061219,Energy,Oil & Gas Midstream,59520372736
HMC,HONDA MOTOR CO LTD,0000715153,Consumer Cyclical,Auto Manufacturers,57430589440
BNS,BANK OF NOVA SCOTIA,0000009631,Financial Services,Banks - Diversified,58306179072
OLCLY,"Oriental Land Co., Ltd./ADR",0001545460,Consumer Cyclical,Leisure,57572323328
ADSK,"Autodesk, Inc.",0000769397,Technology,Software - Application,54660632576
PCAR,PACCAR INC,0000075362,Industrials,Farm & Heavy Construction Machinery,58410446848
TEAM,Atlassian Corp,0001650372,Technology,Software - Application,53777666048
FCX,FREEPORT-MCMORAN INC,0000831259,Basic Materials,Copper,53552119808
RSG,"REPUBLIC SERVICES, INC.",0001060391,Industrials,Waste Management,58377744384
AMX,AMERICA MOVIL SAB DE CV/,0001129137,Communication Services,Telecom Services,59034972160
MSI,"Motorola Solutions, Inc.",0000068505,Technology,Communication Equipment,55021584384
SPG,SIMON PROPERTY GROUP INC /DE/,0001063761,Real Estate,REIT - Retail,56221949952
ANZGY,ANZ GROUP HOLDINGS LIMITED/ADR,0001947559,Financial Services,Banks - Diversified,56168206336
PLTR,Palantir Technologies Inc.,0001321655,Technology,Software - Infrastructure,54090186752
PXD,PIONEER NATURAL RESOURCES CO,0001038357,Energy,Oil & Gas E&P,54741377024
CRH,CRH PUBLIC LTD CO,0000849395,Basic Materials,Building Materials,55568465920
EW,Edwards Lifesciences Corp,0001099800,Healthcare,Medical Devices,51684741120
FTNT,"Fortinet, Inc.",0001262039,Technology,Software - Infrastructure,52969607168
AJG,Arthur J. Gallagher & Co.,0000354190,Financial Services,Insurance Brokers,53202718720
COF,CAPITAL ONE FINANCIAL CORP,0000927628,Financial Services,Credit Services,52223307776
OXY,OCCIDENTAL PETROLEUM CORP /DE/,0000797468,Energy,Oil & Gas E&P,53139329024
DNZOY,Denso Corp,0001446598,Consumer Cyclical,Auto Parts,53788418048
F,FORD MOTOR CO,0000037996,Consumer Cyclical,Auto Manufacturers,49014726656
EL,ESTEE LAUDER COMPANIES INC,0001001250,Consumer Defensive,Household & Personal Products,52826374144
E,ENI SPA,0001002242,Energy,Oil & Gas Integrated,49635278848
PSA,Public Storage,0001393311,Real Estate,REIT - Industrial,49432018944
CTA-PA,"EIDP, Inc.",0000030554,Basic Materials,Agricultural Inputs,49031041024
CARR,CARRIER GLOBAL Corp,0001783180,Industrials,Building Products & Equipment,49122545664
ROST,"ROSS STORES, INC.",0000745732,Consumer Cyclical,Apparel Retail,50644660224
HLT,Hilton Worldwide Holdings Inc.,0001585689,Consumer Cyclical,Lodging,51458494464
CPRT,COPART INC,0000900075,Industrials,Specialty Business Services,50949857280
MET,METLIFE INC,0001099219,Financial Services,Insurance - Life,50206511104
APD,"Air Products & Chemicals, Inc.",0000002969,Basic Materials,Specialty Chemicals,51604951040
MMM,3M CO,0000066740,Industrials,Conglomerates,50632851456
TRV,"TRAVELERS COMPANIES, INC.",0000086312,Financial Services,Insurance - Property & Casualty,50558943232
NGG,NATIONAL GRID PLC,0001004315,Utilities,Utilities - Regulated Electric,49133649920
DXCM,DEXCOM INC,0001093557,Healthcare,Medical Devices,44072075264
VLO,VALERO ENERGY CORP/TX,0001035002,Energy,Oil & Gas Refining & Marketing,46308089856
WELL,WELLTOWER INC.,0000766704,Real Estate,REIT - Healthcare Facilities,52393664512
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",0000005272,Financial Services,Insurance - Diversified,49239781376
IDXX,IDEXX LABORATORIES INC /DE,0000874716,Healthcare,Diagnostics & Research,47405826048
DHI,HORTON D R INC /DE/,0000882184,Consumer Cyclical,Residential Construction,48441962496
TFC,TRUIST FINANCIAL CORP,0000092230,Financial Services,Banks - Regional,46554193920
ODFL,"OLD DOMINION FREIGHT LINE, INC.",0000878927,Industrials,Trucking,47100846080
GWW,"W.W. GRAINGER, INC.",0000277135,Industrials,Industrial Distribution,47845224448
SPOT,Spotify Technology S.A.,0001639920,Communication Services,Internet Content & Information,49611038720
AZO,AUTOZONE INC,0000866787,Consumer Cyclical,Specialty Retail,51948638208
DASH,"DoorDash, Inc.",0001792789,Communication Services,Internet Content & Information,49607651328
ET,Energy Transfer LP,0001276187,Energy,Oil & Gas Midstream,48984068096
BAESY,BAE SYSTEMS PLC /FI/,0000895564,Industrials,Aerospace & Defense,47830417408
MSCI,MSCI Inc.,0001408198,Financial Services,Financial Data & Stock Exchanges,44868435968
CCI,CROWN CASTLE INC.,0001051470,Real Estate,REIT - Specialty,47151407104
COR,"Cencora, Inc.",0001140859,Healthcare,Medical Distribution,47410581504
NU,Nu Holdings Ltd.,0001691493,Financial Services,Banks - Regional,52806619136
NUE,NUCOR CORP,0000073309,Basic Materials,Steel,47263780864
MCHP,MICROCHIP TECHNOLOGY INC,0000827054,Technology,Semiconductors,44379361280
MFG,MIZUHO FINANCIAL GROUP INC,0001335730,Financial Services,Banks - Regional,46957539328
DLR,"DIGITAL REALTY TRUST, INC.",0001297996,Real Estate,REIT - Specialty,45424062464
HUM,HUMANA INC,0000049071,Healthcare,Healthcare Plans,42595336192
AFL,AFLAC INC,0000004977,Financial Services,Insurance - Life,46483763200
HES,HESS CORP,0000004447,Energy,Oil & Gas E&P,44580040704
KHC,Kraft Heinz Co,0001637459,Consumer Defensive,Packaged Foods,43143901184
GM,General Motors Co,0001467858,Consumer Cyclical,Auto Manufacturers,47066107904
O,REALTY INCOME CORP,0000726728,Real Estate,REIT - Retail,44688027648
STZ,"CONSTELLATION BRANDS, INC.",0000016918,Consumer Defensive,Beverages - Wineries & Distilleries,45017595904
TAK,TAKEDA PHARMACEUTICAL CO LTD,0001395064,Healthcare,Drug Manufacturers - Specialty & Generic,46086352896
TEL,TE Connectivity Ltd.,0001385157,Technology,Electronic Components,44260745216
PAYX,PAYCHEX INC,0000723531,Industrials,Staffing & Employment Services,44121374720
KDP,Keurig Dr Pepper Inc.,0001418135,Consumer Defensive,Beverages - Non-Alcoholic,41537507328
URI,"UNITED RENTALS, INC.",0001067701,Industrials,Rental & Leasing Services,46176755712
SRE,SEMPRA,0001032208,Utilities,Utilities - Diversified,44524957696
DDOG,"Datadog, Inc.",0001561550,Technology,Software - Application,43382566912
ING,ING GROEP NV,0001039765,Financial Services,Banks - Diversified,45376073728
ALL,ALLSTATE CORP,0000899051,Financial Services,Insurance - Property & Casualty,42269605888
SQ,"Block, Inc.",0001512673,Technology,Software - Infrastructure,48436568064
LEN,LENNAR CORP /NEW/,0000920760,Consumer Cyclical,Residential Construction,42846670848
ARES,Ares Management Corp,0001176948,Financial Services,Asset Management,40268955648
BSBR,Banco Santander (Brasil) S.A.,0001471055,Financial Services,Banks - Regional,43330531328
HSY,HERSHEY CO,0000047111,Consumer Defensive,Confectioners,37942857728
BK,Bank of New York Mellon Corp,0001390777,Financial Services,Asset Management,42310647808
CEG,Constellation Energy Corp,0001868275,Utilities,Utilities - Renewable,54085746688
SU,SUNCOR ENERGY INC,0000311337,Energy,Oil & Gas Integrated,43645202432
ABEV,AMBEV S.A.,0001565025,Consumer Defensive,Beverages - Brewers,42208391168
CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,0001045520,Financial Services,Banks - Diversified,43157450752
WMB,"WILLIAMS COMPANIES, INC.",0000107263,Energy,Oil & Gas Midstream,42823516160
DKILY,Daikin Industries Ltd,0001446519,Industrials,Building Products & Equipment,41492520960
PPERY,PT Bank Mandiri (Persero) Tbk / ADR,0001461748,Financial Services,Banks - Regional,42478407680
PCG,PG&E Corp,0001004980,Utilities,Utilities - Regulated Electric,43231232000
STM,STMicroelectronics N.V.,0000932787,Technology,Semiconductors,40640114688
MFC,MANULIFE FINANCIAL CORP,0001086888,Financial Services,Insurance - Life,42960322560
CNC,CENTENE CORP,0001071739,Healthcare,Healthcare Plans,42018836480
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,Communication Services,Telecom Services,41879982080
LVS,LAS VEGAS SANDS CORP,0001300514,Consumer Cyclical,Resorts & Casinos,40405389312
KMB,KIMBERLY CLARK CORP,0000055785,Consumer Defensive,Household & Personal Products,40830218240
WCN,"Waste Connections, Inc.",0001318220,Industrials,Waste Management,43147231232
CRARY,CREDIT AGRICOLE S A,0001279967,Financial Services,Banks - Regional,40893607936
WDS,WOODSIDE ENERGY GROUP LTD,0000844551,Energy,Oil & Gas E&P,36731318272
OKE,ONEOK INC /NEW/,0001039684,Energy,Oil & Gas Midstream,43356405760
FERG,Ferguson plc,0001832433,Industrials,Industrial Distribution,42963689472
AEP,AMERICAN ELECTRIC POWER CO INC,0000004904,Utilities,Utilities - Regulated Electric,43678617600
LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",0000202058,Industrials,Aerospace & Defense,40652693504
